EMBAYMENT NAME,EcoType,MassBays Region,Northeastern_category,Total KM Shore,Habitat,Historic Seagrass Hab Available (km),1775,1950,1995,2001,2006,2012,2016,2017,2050,Acre Loss/Gain  Seagrass,%   Remaining  Seagrass,2016.5
JONES RIVER / KINGSTON BAY,Green,South Shore,4,38,Seagrass,33,1541,750,348,313,547,397,272,,348,"1,270",18,272
LITTLE HARBOR,Yellow,Massachusetts Bay,4,19,Seagrass,15,118,0,0,,,,,,0,118,0,
MANCHESTER HARBOR,Orange,Lower North Shore,NA,12,Seagrass,9,218,172,148,117,,120,122,,148,96,56,122
MARBLEHEAD HARBOR,Orange,Lower North Shore,NA,13,Seagrass,3,215,38,37,19,5,29,30,,37,185,14,30
MERRIMACK RIVER,Yellow,Upper North Shore,4,168,Seagrass,,783,180,,,,,,,,783,0,
NAMSKAKET CREEK / LITTLE NAMSKAKET CREEK,Yellow,Cape Cod,2,20,Seagrass,20,484,85,151,102,,14,,,151,469,3,14
NEPONSET RIVER / DORCHESTER BAY,Orange,Massachusetts Bay,3,57,Seagrass,,1621,,,,,,,,,"1,621",0,
NORTH RIVER / SOUTH RIVER,Yellow,South Shore,4,163,Seagrass,,14,,,,,,,,,14,0,
PAINE'S CREEK / STONY BROOK,Yellow,Cape Cod,2,6,Seagrass,6,483,54,54,82,,30,,39,54,445,8,39
PAMET RIVER / LITTLE PAMET RIVER,Yellow,Cape Cod,4,18,Seagrass,17,918,625,441,533,,554,,510,441,407,56,510
PARKER RIVER,Yellow,Upper North Shore,4,104,Seagrass,,70,,,,,,,,,70,0,
PROVINCETOWN HARBOR,Green,Cape Cod,1,38,Seagrass,34,1728,1347,903,881,,982,,997,903,731,58,997
QUIVETT CREEK,Yellow,Cape Cod,2,16,Seagrass,,79,,,,,,,,,79,0,
ROCKPORT HARBOR (SANDY BAY),Blue,Upper North Shore,1,11,Seagrass,,4,3,2,2,2,2,,2,2,2,57,2
ROWLEY RIVER,Yellow,Upper North Shore,4,75,Seagrass,73,48,,,,,,,,,48,0,
SALEM SOUND / BEVERLY HARBOR,Orange,Lower North Shore,3,28,Seagrass,,1664,444,403,374,,398,392,,403,"1,272",24,392
SANDWICH HARBOR,Green,Cape Cod,4,76,Seagrass,76,75,6,5,2,,2,,3,5,72,4,3
SAUGUS RIVER / PINES RIVER / LYNN HARBOR,Yellow,Massachusetts Bay,3,118,Seagrass,107,3207,1074,751,667,694,761,630,,751,"2,577",20,630
SCITUATE HARBOR,Green,South Shore,4,17,Seagrass,16,107,25,12,10,10,8,10,,12,97,9,10
SCORTON CREEK,Yellow,Cape Cod,4,40,Seagrass,,0,,,,,,,,,0,0,
SESUIT CREEK / SESUIT HARBOR,Yellow,Cape Cod,4,8,Seagrass,,3,,,,,,,,,3,0,
WEIR RIVER / STRAITS POND,Orange,Massachusetts Bay,3,36,Seagrass,,50,8,,,,,,,,50,0,
WELLFLEET HARBOR,Yellow,Cape Cod,2,94,Seagrass,92,13388,6234,4675,1315,,1440,,998,4675,"12,389",7,998
